Occurrences,Rank,Lemma,POS,SAMER  Avg,MSA-DA,Class,Syllable Count,MSA-DA Score,Rank Score,Class Score,Compound Score,BAREC Level E1,numeric barec level
"6,007",178,نَعَم,interj,1,D=,Closed,2,1,2,1,11,ج,3
"5,993",179,أَب,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,958",180,سَابِق,adj,3,D~,Open,2,2,2,2,31,ك,11
"5,938",181,ٱِنْتِخَاب,noun,3,D=,Open,3,1,2,2,29,ك,11
"5,868",182,كِتَاب,noun,1,D=,Open,2,1,2,2,12,ج,3
"5,838",183,أَهْل,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,802",184,حُبّ,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,801",185,قَتَل,verb,1,D=,Open,3,1,2,2,13,د,4
"5,781",186,أَحَبّ,verb,1,D=,Open,2,1,2,2,12,ج,3
"5,781",186,هُم,pron,2,D=,Closed,1,1,2,1,17,و,6
"5,731",188,حَرَكَة,noun,1,D=,Open,3,1,2,2,13,د,4
"5,730",189,أَكْبَر,adj_comp,1,D=,Open,2,1,2,2,12,ج,3
"5,697",190,مَشْرُوع,noun,2,D=,Open,2,1,2,2,20,ز,7
"5,686",191,قَوْل,noun,3,D~,Open,1,2,2,2,30,ك,11
"5,668",192,فَعَل,verb,1,MSA,Open,3,4,2,2,16,ه,5
"5,628",193,حَرْب,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,625",194,حَدّ,noun,3,MSA,Open,1,4,2,2,36,ل,12
"5,583",195,سَيِّدَة,noun,1,MSA,Open,3,4,2,2,16,ه,5
"5,575",196,مَلِك,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,575",196,فَتَى,noun,1,MSA,Open,2,4,2,2,15,ه,5
"5,561",198,إِذْ,conj_sub,3,MSA,Closed,1,4,2,1,33,ل,12
"5,533",199,رَأْي,noun,2,D=,Open,1,1,2,2,19,ز,7
"5,497",200,دَوْر,noun,3,D=,Open,1,1,2,2,27,ي,10
"5,462",201,مِلْيُون,noun_num,3,D=,Closed,2,1,2,1,25,ط,9
"5,431",202,مَال,noun,1,MSA,Open,1,4,2,2,14,د,4
"5,419",203,شَخْص,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,387",204,كَلَام,noun,1,D=,Open,2,1,2,2,12,ج,3
"5,355",205,طَلَب,verb,1,D=,Open,3,1,2,2,13,د,4
"5,345",206,قَصْر,noun,1,D~,Open,1,2,2,2,12,ج,3
"5,345",206,قَائِل,noun,2,D~,Open,2,2,2,2,22,ح,8
"5,332",208,جَيْش,noun,1,D=,Open,1,1,2,2,11,ج,3
